Time	Channel 2	
ms	V	
		
0	0.803
1	0.803
2	0.804
3	0.802
4	0.797
5	0.797
6	0.795
7	0.795
8	0.796
9	0.795
10	0.792
11	0.796
12	0.799
13	0.801
14	0.799
15	0.797
16	0.799
17	0.797
18	0.796
19	0.796
20	0.796
21	0.797
22	0.796
23	0.797
24	0.797
25	0.796
26	0.797
27	0.796
28	0.796
29	0.797
30	0.794
31	0.794
32	0.791
33	0.791
34	0.792
35	0.790
36	0.788
37	0.789
38	0.789
39	0.790
40	0.791
41	0.793
42	0.791
43	0.786
44	0.793
45	0.791
46	0.792
47	0.793
48	0.789
49	0.789
50	0.789
51	0.788
52	0.788
53	0.786
54	0.785
55	0.784
56	0.786
57	0.787
58	0.788
59	0.788
60	0.789
61	0.788
62	0.786
63	0.786
64	0.786
65	0.786
66	0.786
67	0.787
68	0.784
69	0.788
70	0.790
71	0.793
72	0.797
73	0.799
74	0.796
75	0.797
76	0.799
77	0.797
78	0.798
79	0.798
80	0.797
81	0.799
82	0.797
83	0.794
84	0.792
85	0.792
86	0.789
87	0.792
88	0.791
89	0.795
90	0.800
91	0.800
92	0.802
93	0.803
94	0.804
95	0.803
96	0.803
97	0.803
98	0.803
99	0.805
100	0.809
101	0.813
102	0.808
103	0.810
104	0.805
105	0.806
106	0.808
107	0.810
108	0.808
109	0.807
110	0.804
111	0.805
112	0.802
113	0.803
114	0.803
115	0.802
116	0.802
117	0.808
118	0.804
119	0.804
120	0.802
121	0.804
122	0.801
123	0.798
124	0.799
125	0.800
126	0.802
127	0.805
128	0.799
129	0.802
130	0.805
131	0.804
132	0.800
133	0.803
134	0.804
135	0.803
136	0.805
137	0.804
138	0.803
139	0.802
140	0.800
141	0.797
142	0.796
143	0.796
144	0.796
145	0.797
146	0.797
147	0.798
148	0.800
149	0.802
150	0.799
151	0.800
152	0.802
153	0.800
154	0.800
155	0.801
156	0.805
157	0.804
158	0.799
159	0.802
160	0.801
161	0.802
162	0.800
163	0.801
164	0.800
165	0.797
166	0.801
167	0.801
168	0.802
169	0.801
170	0.802
171	0.799
172	0.797
173	0.797
174	0.792
175	0.791
176	0.789
177	0.791
178	0.790
179	0.790
180	0.794
181	0.794
182	0.792
183	0.789
184	0.788
185	0.788
186	0.792
187	0.788
188	0.789
189	0.789
190	0.787
191	0.788
192	0.788
193	0.788
194	0.783
195	0.780
196	0.782
197	0.783
198	0.784
199	0.785
200	0.788
201	0.788
202	0.790
203	0.788
204	0.786
205	0.784
206	0.783
207	0.785
208	0.784
209	0.785
210	0.787
211	0.786
212	0.786
213	0.789
214	0.788
215	0.789
216	0.786
217	0.786
218	0.785
219	0.786
220	0.784
221	0.783
222	0.781
223	0.780
224	0.780
225	0.782
226	0.783
227	0.783
228	0.784
229	0.783
230	0.784
231	0.782
232	0.783
233	0.786
234	0.784
235	0.784
236	0.783
237	0.783
238	0.786
239	0.786
240	0.788
241	0.791
242	0.791
243	0.788
244	0.786
245	0.785
246	0.789
247	0.786
248	0.788
249	0.791
250	0.788
251	0.786
252	0.789
253	0.789
254	0.789
255	0.789
256	0.789
257	0.790
258	0.789
259	0.791
260	0.794
261	0.795
262	0.792
263	0.792
264	0.792
265	0.792
266	0.790
267	0.791
268	0.794
269	0.792
270	0.795
271	0.795
272	0.793
273	0.793
274	0.794
275	0.795
276	0.794
277	0.792
278	0.795
279	0.795
280	0.797
281	0.798
282	0.797
283	0.797
284	0.797
285	0.797
286	0.799
287	0.794
288	0.795
289	0.793
290	0.794
291	0.796
292	0.796
293	0.795
294	0.794
295	0.794
296	0.796
