Time	Channel 2	
ms	V	
		
0	1.424
1	1.413
2	1.332
3	1.361
4	1.385
5	1.393
6	1.339
7	1.217
8	1.220
9	1.284
10	1.258
11	1.313
12	1.317
13	1.362
14	1.234
15	1.237
16	1.284
17	1.273
18	1.289
19	1.198
20	1.223
21	1.213
22	1.114
23	1.096
24	1.037
25	1.139
26	1.110
27	1.111
28	1.214
29	1.234
30	1.121
31	1.090
32	1.139
33	1.130
34	1.181
35	1.141
36	1.128
37	1.101
38	0.980
39	1.004
40	0.949
41	0.988
42	1.056
43	1.185
44	1.131
45	1.142
46	1.145
47	1.280
48	1.327
49	1.264
50	1.259
51	1.328
52	1.258
53	1.253
54	1.162
55	1.101
56	1.178
57	1.235
58	1.312
59	1.233
60	1.250
61	1.264
62	1.187
63	1.136
64	1.129
65	1.140
66	1.259
67	1.136
68	1.135
69	1.140
70	1.136
71	1.178
72	1.191
73	1.256
74	1.209
75	1.127
76	1.229
77	1.317
78	1.421
79	1.480
80	1.452
81	1.502
82	1.566
83	1.575
84	1.576
85	1.589
86	1.574
87	1.565
88	1.594
89	1.563
90	1.636
91	1.668
92	1.615
93	1.639
94	1.636
95	1.597
96	1.551
97	1.479
98	1.553
99	1.515
100	1.415
101	1.440
102	1.415
103	1.480
104	1.502
105	1.422
106	1.425
107	1.385
108	1.435
109	1.379
110	1.383
111	1.493
112	1.490
113	1.510
114	1.571
115	1.621
116	1.567
117	1.587
118	1.554
119	1.539
120	1.572
121	1.553
122	1.434
123	1.414
124	1.386
125	1.455
126	1.502
127	1.427
128	1.436
129	1.415
130	1.354
131	1.331
132	1.222
133	1.176
134	1.178
135	1.201
136	1.202
137	1.194
138	1.202
139	1.133
140	1.095
141	1.127
142	1.155
143	1.129
144	1.087
145	1.074
146	1.184
147	1.179
148	1.173
149	1.212
150	1.284
151	1.282
152	1.251
153	1.164
154	1.230
155	1.152
156	1.159
157	1.125
158	1.118
159	1.108
160	1.097
161	1.172
162	1.239
163	1.384
164	1.424
165	1.459
166	1.490
167	1.493
168	1.606
169	1.654
170	1.708
171	1.595
172	1.601
173	1.607
174	1.705
175	1.607
176	1.633
177	1.653
178	1.604
179	1.634
180	1.681
181	1.698
182	1.656
183	1.665
184	1.759
185	1.664
186	1.695
187	1.632
188	1.565
189	1.642
190	1.662
191	1.784
192	1.783
193	1.742
194	1.731
195	1.794
196	1.741
197	1.748
198	1.695
199	1.663
200	1.634
201	1.685
202	1.580
203	1.620
204	1.678
205	1.719
206	1.636
207	1.708
208	1.689
209	1.594
210	1.753
211	1.711
212	1.754
213	1.642
214	1.701
215	1.736
216	1.677
217	1.609
218	1.592
219	1.519
220	1.500
221	1.565
222	1.576
223	1.502
224	1.526
225	1.443
226	1.490
227	1.449
228	1.546
229	1.490
230	1.433
231	1.303
232	1.362
233	1.404
234	1.314
235	1.330
236	1.292
237	1.326
238	1.380
239	1.459
240	1.485
241	1.605
242	1.563
243	1.570
244	1.530
245	1.553
246	1.606
247	1.623
248	1.694
249	1.716
250	1.714
251	1.672
252	1.655
253	1.704
254	1.664
255	1.700
256	1.612
257	1.602
258	1.540
259	1.552
260	1.473
261	1.369
262	1.399
263	1.534
264	1.595
265	1.565
266	1.430
267	1.303
268	1.360
269	1.368
270	1.341
271	1.318
272	1.189
273	1.240
274	1.232
275	1.277
276	1.306
277	1.242
278	1.233
279	1.146
280	1.121
281	1.133
282	1.156
283	1.075
284	1.141
285	1.090
286	1.106
287	1.138
288	1.099
289	1.212
290	1.241
291	1.332
292	1.193
293	1.151
294	1.183
295	1.195
296	1.289
297	1.319
298	1.278
299	1.263
300	1.250
301	1.270
302	1.281
303	1.337
304	1.385
305	1.562
306	1.494
307	1.508
308	1.392
309	1.493
310	1.427
311	1.422
312	1.472
313	1.601
314	1.592
315	1.652
316	1.648
317	1.774
318	1.784
319	1.658
320	1.540
321	1.512
322	1.527
323	1.429
324	1.424
325	1.288
326	1.327
327	1.398
328	1.317
329	1.241
330	1.298
331	1.295
332	1.273
333	1.256
334	1.247
335	1.352
336	1.283
337	1.208
338	1.238
339	1.173
340	1.197
341	1.195
342	1.200
343	1.123
344	1.153
345	1.197
346	1.276
347	1.290
348	1.305
349	1.310
350	1.322
351	1.358
352	1.323
353	1.333
354	1.307
355	1.238
356	1.309
357	1.263
358	1.373
359	1.364
360	1.241
361	1.294
362	1.292
363	1.244
364	1.245
365	1.245
366	1.209
367	1.167
368	1.231
369	1.335
370	1.235
371	1.250
372	1.279
373	1.242
374	1.162
375	1.104
376	1.049
377	1.035
378	1.092
379	1.069
380	1.065
381	1.146
382	1.172
383	1.172
384	1.247
385	1.179
386	1.274
387	1.292
388	1.273
389	1.264
390	1.280
391	1.277
392	1.369
393	1.328
394	1.367
395	1.457
396	1.474
397	1.516
398	1.466
399	1.470
400	1.462
401	1.480
402	1.422
403	1.373
404	1.381
405	1.375
406	1.197
407	1.284
408	1.341
409	1.375
410	1.315
411	1.277
412	1.308
413	1.286
414	1.279
415	1.307
416	1.263
417	1.235
418	1.232
419	1.248
420	1.311
421	1.504
422	1.411
423	1.338
424	1.397
425	1.438
426	1.400
427	1.438
428	1.440
429	1.444
430	1.467
431	1.595
432	1.607
433	1.533
434	1.581
435	1.581
436	1.468
437	1.523
438	1.487
439	1.527
440	1.464
441	1.417
442	1.344
443	1.416
444	1.365
445	1.385
446	1.445
447	1.424
448	1.374
449	1.378
450	1.383
451	1.397
452	1.435
453	1.305
454	1.315
455	1.330
456	1.275
457	1.357
458	1.408
459	1.415
460	1.463
461	1.546
462	1.494
463	1.474
464	1.493
465	1.515
466	1.481
467	1.466
468	1.419
469	1.321
470	1.311
