Time	Channel 2	
ms	V	
		
0	1.692
1	1.706
2	1.688
3	1.685
4	1.720
5	1.746
6	1.736
7	1.735
8	1.750
9	1.724
10	1.738
11	1.746
12	1.759
13	1.766
14	1.768
15	1.770
16	1.772
17	1.792
18	1.779
19	1.751
20	1.749
21	1.742
22	1.742
23	1.722
24	1.738
25	1.750
26	1.752
27	1.777
28	1.794
29	1.803
30	1.761
31	1.755
32	1.774
33	1.747
34	1.770
35	1.766
36	1.783
37	1.787
38	1.797
39	1.780
40	1.775
41	1.772
42	1.789
43	1.775
44	1.741
45	1.744
46	1.731
47	1.748
48	1.736
49	1.732
50	1.728
51	1.738
52	1.758
53	1.747
54	1.756
55	1.766
56	1.759
57	1.722
58	1.736
59	1.747
60	1.739
61	1.706
62	1.716
63	1.703
64	1.716
65	1.693
66	1.680
67	1.674
68	1.694
69	1.696
70	1.691
71	1.723
72	1.683
73	1.716
74	1.698
75	1.705
76	1.701
77	1.712
78	1.703
79	1.720
80	1.720
81	1.699
82	1.730
83	1.733
84	1.741
85	1.725
86	1.716
87	1.682
88	1.651
89	1.668
90	1.690
91	1.694
92	1.659
93	1.677
94	1.712
95	1.692
96	1.691
97	1.689
98	1.716
99	1.712
100	1.744
101	1.741
102	1.767
103	1.774
104	1.755
105	1.748
106	1.763
107	1.750
108	1.764
109	1.783
110	1.772
111	1.752
112	1.791
113	1.788
114	1.789
115	1.789
116	1.774
117	1.762
118	1.767
119	1.748
120	1.748
121	1.756
122	1.774
123	1.784
124	1.793
125	1.787
126	1.775
127	1.752
128	1.752
129	1.759
130	1.755
131	1.748
132	1.745
133	1.748
134	1.741
135	1.694
136	1.697
137	1.694
138	1.698
139	1.700
140	1.679
141	1.692
142	1.679
143	1.697
144	1.681
145	1.709
146	1.701
147	1.703
148	1.691
149	1.690
150	1.673
151	1.670
152	1.671
153	1.684
154	1.694
155	1.686
156	1.679
157	1.673
158	1.697
159	1.704
160	1.701
161	1.697
162	1.700
163	1.716
164	1.716
165	1.699
166	1.687
167	1.700
168	1.681
169	1.700
170	1.698
171	1.719
172	1.707
173	1.701
174	1.708
175	1.678
176	1.681
177	1.687
178	1.694
179	1.703
180	1.733
181	1.705
182	1.708
183	1.722
184	1.708
185	1.688
186	1.701
187	1.666
188	1.683
189	1.698
190	1.689
191	1.694
192	1.717
193	1.742
194	1.725
195	1.733
196	1.718
197	1.711
198	1.705
199	1.680
200	1.690
201	1.721
202	1.733
203	1.711
204	1.739
205	1.740
206	1.741
207	1.722
208	1.722
209	1.743
210	1.722
211	1.733
212	1.728
213	1.720
214	1.715
215	1.726
216	1.709
217	1.735
218	1.728
219	1.725
220	1.748
221	1.747
222	1.745
223	1.735
224	1.731
225	1.725
226	1.705
227	1.694
228	1.703
229	1.701
230	1.706
231	1.709
232	1.705
233	1.707
234	1.688
235	1.700
236	1.694
237	1.714
238	1.711
239	1.736
240	1.763
241	1.779
242	1.780
243	1.800
244	1.809
245	1.785
246	1.797
247	1.769
248	1.767
249	1.791
250	1.786
251	1.802
252	1.787
253	1.797
254	1.763
255	1.740
256	1.739
257	1.758
258	1.738
259	1.755
260	1.759
261	1.733
262	1.741
263	1.763
264	1.792
265	1.773
266	1.740
267	1.731
268	1.726
269	1.734
270	1.734
271	1.744
272	1.733
273	1.730
274	1.748
275	1.741
276	1.747
277	1.721
278	1.712
279	1.697
280	1.687
281	1.684
282	1.687
283	1.706
284	1.706
285	1.697
286	1.720
287	1.713
288	1.712
289	1.751
290	1.758
291	1.807
292	1.795
293	1.800
294	1.800
295	1.788
296	1.796
297	1.783
298	1.742
299	1.747
300	1.748
301	1.725
302	1.751
303	1.775
304	1.782
305	1.797
306	1.774
307	1.769
308	1.760
309	1.746
310	1.766
311	1.776
312	1.808
313	1.802
314	1.799
315	1.776
316	1.782
317	1.784
318	1.778
319	1.779
320	1.745
321	1.736
322	1.734
323	1.716
324	1.711
325	1.707
326	1.705
327	1.696
328	1.700
329	1.701
330	1.690
331	1.670
332	1.679
333	1.698
334	1.698
335	1.678
336	1.691
337	1.692
338	1.702
339	1.696
340	1.711
341	1.701
342	1.700
343	1.684
344	1.692
345	1.684
346	1.664
347	1.680
348	1.694
349	1.681
350	1.687
351	1.684
352	1.650
353	1.637
354	1.651
355	1.678
356	1.680
357	1.679
358	1.692
359	1.697
360	1.680
361	1.692
362	1.690
363	1.684
364	1.684
365	1.673
366	1.652
367	1.713
368	1.700
369	1.708
370	1.705
371	1.694
372	1.717
373	1.726
374	1.738
375	1.719
376	1.741
377	1.733
378	1.727
379	1.742
380	1.758
381	1.765
382	1.744
383	1.753
384	1.730
385	1.730
386	1.721
387	1.705
388	1.731
389	1.730
390	1.753
391	1.735
392	1.742
393	1.728
394	1.756
395	1.761
396	1.719
397	1.708
398	1.714
399	1.720
400	1.705
401	1.713
402	1.714
403	1.686
404	1.706
405	1.701
406	1.701
407	1.741
408	1.728
409	1.744
410	1.744
411	1.773
412	1.767
413	1.769
414	1.773
415	1.777
416	1.773
417	1.777
418	1.769
419	1.773
420	1.759
421	1.784
422	1.768
423	1.750
424	1.742
425	1.733
426	1.764
427	1.783
428	1.790
429	1.760
430	1.742
431	1.759
432	1.776
433	1.758
434	1.750
435	1.738
436	1.730
437	1.722
438	1.763
439	1.759
440	1.700
441	1.702
442	1.700
443	1.678
444	1.703
445	1.701
446	1.679
447	1.690
448	1.678
449	1.686
450	1.719
451	1.713
452	1.686
453	1.686
454	1.709
455	1.679
456	1.690
457	1.687
458	1.708
459	1.735
460	1.699
461	1.720
462	1.716
463	1.726
464	1.743
465	1.755
466	1.729
467	1.737
468	1.735
469	1.783
470	1.786
471	1.792
472	1.769
473	1.771
474	1.733
475	1.742
476	1.713
477	1.713
478	1.709
479	1.704
480	1.735
481	1.725
482	1.724
483	1.734
484	1.731
485	1.733
486	1.731
487	1.735
488	1.733
489	1.737
490	1.745
491	1.757
492	1.753
493	1.791
494	1.776
495	1.769
496	1.748
497	1.747
498	1.722
499	1.708
500	1.717
501	1.700
502	1.713
503	1.700
504	1.741
505	1.751
506	1.745
507	1.738
508	1.733
509	1.731
510	1.762
511	1.773
512	1.741
513	1.742
514	1.757
515	1.755
516	1.775
517	1.760
518	1.741
519	1.738
520	1.742
521	1.767
522	1.753
523	1.767
524	1.753
525	1.748
526	1.746
527	1.750
528	1.763
529	1.730
530	1.755
531	1.786
532	1.781
533	1.808
534	1.781
535	1.767
536	1.758
537	1.761
538	1.782
539	1.776
540	1.752
541	1.745
542	1.758
543	1.755
544	1.761
545	1.761
546	1.750
547	1.736
548	1.754
549	1.788
550	1.754
551	1.770
552	1.756
553	1.753
554	1.748
555	1.736
556	1.742
557	1.756
558	1.762
559	1.762
560	1.766
561	1.771
562	1.774
563	1.739
564	1.733
565	1.721
566	1.697
567	1.695
568	1.683
569	1.675
570	1.679
571	1.706
572	1.719
573	1.744
574	1.741
575	1.768
576	1.755
577	1.726
578	1.731
579	1.706
580	1.706
581	1.698
582	1.716
583	1.719
584	1.734
585	1.722
586	1.744
587	1.744
588	1.762
589	1.728
590	1.718
591	1.726
592	1.706
593	1.709
594	1.719
595	1.726
596	1.701
597	1.730
598	1.731
599	1.733
600	1.752
601	1.748
602	1.745
603	1.723
604	1.730
605	1.703
606	1.698
607	1.698
608	1.683
609	1.710
610	1.716
611	1.707
612	1.725
613	1.726
614	1.739
615	1.715
616	1.714
617	1.714
618	1.705
619	1.683
620	1.700
621	1.706
622	1.718
623	1.711
624	1.707
625	1.733
626	1.711
627	1.700
628	1.683
629	1.664
630	1.691
631	1.659
632	1.667
633	1.652
634	1.639
635	1.653
636	1.655
637	1.653
638	1.642
639	1.663
640	1.665
641	1.668
642	1.662
643	1.687
644	1.658
645	1.651
646	1.659
647	1.658
648	1.669
649	1.666
650	1.697
651	1.705
652	1.716
653	1.729
654	1.731
655	1.720
656	1.750
657	1.739
658	1.719
659	1.697
660	1.706
661	1.689
662	1.687
663	1.667
